path,area,git_blob_or_state,provenance_classification,governing_basis,release_disposition,evidence
samples/CameraAccess/CameraAccess/OpenClaw/ToolCallRouter.swift,ios-experimental,d81d20fb8e24a89645d2c0714182387824419090,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/OpenClaw/ToolCallRouter.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/OpenClaw/ToolCallRouter.swift
samples/CameraAccess/CameraAccess/Secrets.swift.example,ios-experimental,10a151ac8b5a2286b5daa0ebdeb1b778ff0f7d19,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,same-path:visionclaw:samples/CameraAccess/CameraAccess/Secrets.swift.example
samples/CameraAccess/CameraAccess/Settings/SettingsManager.swift,ios-experimental,069ab0d2bc73415334f51ffcd06bf87dd3924a29,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,same-path:visionclaw:samples/CameraAccess/CameraAccess/Settings/SettingsManager.swift
samples/CameraAccess/CameraAccess/Settings/SettingsView.swift,ios-experimental,3149d88a8402e572b99084a1c698ca4f69fef1c9,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,same-path:visionclaw:samples/CameraAccess/CameraAccess/Settings/SettingsView.swift
samples/CameraAccess/CameraAccess/ViewModels/DebugMenuViewModel.swift,ios-experimental,07531709be31a318418adafada068ba9f5f29bd0,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/ViewModels/DebugMenuViewModel.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/ViewModels/DebugMenuViewModel.swift
samples/CameraAccess/CameraAccess/ViewModels/MockDeviceKit/MockDeviceKitViewModel.swift,ios-experimental,122f9a8b855a569e1af7218d34ab36390dc70de7,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/ViewModels/MockDeviceKit/MockDeviceKitViewModel.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/ViewModels/MockDeviceKit/MockDeviceKitViewModel.swift
samples/CameraAccess/CameraAccess/ViewModels/MockDeviceKit/MockDeviceViewModel.swift,ios-experimental,8210b58dd8b1ff8d7162f3b0729808a1de74d7b3,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/ViewModels/MockDeviceKit/MockDeviceViewModel.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/ViewModels/MockDeviceKit/MockDeviceViewModel.swift
samples/CameraAccess/CameraAccess/ViewModels/StreamSessionViewModel.swift,ios-experimental,8df51dc417b1d6a5190d5c78401453077b49ee0b,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/ViewModels/StreamSessionViewModel.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/ViewModels/StreamSessionViewModel.swift
samples/CameraAccess/CameraAccess/ViewModels/VideoDecoder.swift,ios-experimental,d299687ca18718bcfa03c823fab377dad46968f9,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:visionclaw:samples/CameraAccess/CameraAccess/ViewModels/VideoDecoder.swift
samples/CameraAccess/CameraAccess/ViewModels/WearablesViewModel.swift,ios-experimental,db70ad677a10aca5e9519a99c7b7bafc60f984da,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/ViewModels/WearablesViewModel.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/ViewModels/WearablesViewModel.swift
samples/CameraAccess/CameraAccess/Views/Components/CardView.swift,ios-experimental,2c61ab70c58735d943e01e01986982a7fef5ee39,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/Components/CardView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/CardView.swift
samples/CameraAccess/CameraAccess/Views/Components/CircleButton.swift,ios-experimental,1797aff8a1f4863db63e82c8f9590a8422391149,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/Components/CircleButton.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/CircleButton.swift
samples/CameraAccess/CameraAccess/Views/Components/CustomButton.swift,ios-experimental,49c49530e321ec2c25946e023c13f08612c3959f,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/Components/CustomButton.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/CustomButton.swift
samples/CameraAccess/CameraAccess/Views/Components/GeminiOverlayView.swift,ios-experimental,67ec11fbf6a72439b556e8276b6964562a3cf932,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/GeminiOverlayView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/GeminiOverlayView.swift
samples/CameraAccess/CameraAccess/Views/Components/MediaPickerView.swift,ios-experimental,9cdb234eba5c9773be632d55e9b0dcafd500c621,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/Components/MediaPickerView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/MediaPickerView.swift
samples/CameraAccess/CameraAccess/Views/Components/StatusText.swift,ios-experimental,895eadf07aa40e49177d24ace4b7e1614afb5bf1,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/Components/StatusText.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/Components/StatusText.swift
samples/CameraAccess/CameraAccess/Views/DebugMenuView.swift,ios-experimental,5ad989e6728719a348b715e9c11914e7e2cb8aaf,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/DebugMenuView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/DebugMenuView.swift
samples/CameraAccess/CameraAccess/Views/HomeScreenView.swift,ios-experimental,73b5abb832d1e20bcb1acc0a28ece7eae2f27ed9,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/HomeScreenView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/HomeScreenView.swift
samples/CameraAccess/CameraAccess/Views/MainAppView.swift,ios-experimental,b672cc87e170e719f8c926ccc156fb4364388092,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/MainAppView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/MainAppView.swift
samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceCardView.swift,ios-experimental,2884fe52c02973d985843f202cdc7088f37e3d4b,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceCardView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceCardView.swift
samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceKitButton.swift,ios-experimental,bab7b35273d59912ba6a5b0819301f4e9a7ceed9,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceKitButton.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceKitButton.swift
samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceKitView.swift,ios-experimental,153ee6c9182c79e6245d268f5a8e818fdfae5a0c,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceKitView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/MockDeviceKit/MockDeviceKitView.swift
samples/CameraAccess/CameraAccess/Views/NonStreamView.swift,ios-experimental,65071eeb60541c012fe7a211a540dbf5be0f6bf1,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/NonStreamView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/NonStreamView.swift
samples/CameraAccess/CameraAccess/Views/PhotoPreviewView.swift,ios-experimental,ea598ee27931022465afbaf3d4a1d02fb856be23,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/PhotoPreviewView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/PhotoPreviewView.swift
samples/CameraAccess/CameraAccess/Views/RegistrationView.swift,ios-experimental,a5952c51b97e2eb988fb7c57088a567a522ce185,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/RegistrationView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/RegistrationView.swift
samples/CameraAccess/CameraAccess/Views/StreamSessionView.swift,ios-experimental,3b7e71f17a66144562782691f67aca3acd989876,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/StreamSessionView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/StreamSessionView.swift
samples/CameraAccess/CameraAccess/Views/StreamView.swift,ios-experimental,4f17b334991d1c2d0894d9f899a4756ddc8c5bc5,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccess/Views/StreamView.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/Views/StreamView.swift
samples/CameraAccess/CameraAccess/iPhone/IPhoneCameraManager.swift,ios-experimental,5587de8faf0965455bf29c549d4d7737b607f1df,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess/iPhone/IPhoneCameraManager.swift;same-path:visionclaw:samples/CameraAccess/CameraAccess/iPhone/IPhoneCameraManager.swift
samples/CameraAccess/CameraAccessTests/Assets/plant.mp4,ios-experimental,e838dfae69254b37e4acacb354234875b83c54bb,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-android:samples/CameraAccess/app/src/androidTest/assets/plant.mp4;exact:meta-ios:samples/CameraAccess/CameraAccess/TestResources/plant.mp4;exact:visionclaw:samples/CameraAccess/CameraAccessTests/Assets/plant.mp4;exact:visionclaw:samples/CameraAccessAndroid/app/src/androidTest/assets/plant.mp4;same-path:visionclaw:samples/CameraAccess/CameraAccessTests/Assets/plant.mp4
samples/CameraAccess/CameraAccessTests/Assets/plant.png,ios-experimental,96798c374561ea8cda59f3d9a41fa0ab27c4dfb8,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-android:samples/CameraAccess/app/src/androidTest/assets/plant.png;exact:meta-ios:samples/CameraAccess/CameraAccess/TestResources/plant.png;exact:visionclaw:samples/CameraAccess/CameraAccessTests/Assets/plant.png;exact:visionclaw:samples/CameraAccessAndroid/app/src/androidTest/assets/plant.png;same-path:visionclaw:samples/CameraAccess/CameraAccessTests/Assets/plant.png
samples/CameraAccess/CameraAccessTests/CameraAccessTests.swift,ios-experimental,e136bc37e08bc1c91c5dcf086df810103a31cdb4,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,meta-header;same-path:meta-ios:samples/CameraAccess/CameraAccessTests/CameraAccessTests.swift;same-path:visionclaw:samples/CameraAccess/CameraAccessTests/CameraAccessTests.swift
samples/CameraAccess/README.md,ios-experimental,76600e7bed0e04dde3f0a2520f108476a3dba97c,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,same-path:meta-ios:samples/CameraAccess/README.md
samples/CameraAccessAndroid/.gitignore,android-release,ebcf831122f43c64d7b937cc813d762f940dc1a1,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,same-path:meta-android:samples/CameraAccess/.gitignore;same-path:visionclaw:samples/CameraAccessAndroid/.gitignore
samples/CameraAccessAndroid/README.md,android-release,fffe193da450861ba51234f02cf08cdeafbd6b1a,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,same-path:meta-android:samples/CameraAccess/README.md;same-path:visionclaw:samples/CameraAccessAndroid/README.md
samples/CameraAccessAndroid/app/.gitignore,android-release,796b96d1c402326528b4ba3c12ee9d92d0e212e9,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,exact:meta-android:samples/CameraAccess/app/.gitignore;exact:visionclaw:samples/CameraAccessAndroid/app/.gitignore;same-path:meta-android:samples/CameraAccess/app/.gitignore;same-path:visionclaw:samples/CameraAccessAndroid/app/.gitignore
samples/CameraAccessAndroid/app/build.gradle.kts,android-release,eb03e236750df17b5521780bac1e0e115fcd3cc5,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;same-path:meta-android:samples/CameraAccess/app/build.gradle.kts;same-path:visionclaw:samples/CameraAccessAndroid/app/build.gradle.kts
samples/CameraAccessAndroid/app/gradle.lockfile,android-release,d771deceb95c6f4b69a9cba87b09d54d834b31b7,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/proguard-rules.pro,android-release,eb71d7ab88171d6f7227ec0904ada88ecc99d553,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;same-path:meta-android:samples/CameraAccess/app/proguard-rules.pro;same-path:visionclaw:samples/CameraAccessAndroid/app/proguard-rules.pro
samples/CameraAccessAndroid/app/src/androidTest/assets/plant.mp4,android-release,e838dfae69254b37e4acacb354234875b83c54bb,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,exact:meta-android:samples/CameraAccess/app/src/androidTest/assets/plant.mp4;exact:meta-ios:samples/CameraAccess/CameraAccess/TestResources/plant.mp4;exact:visionclaw:samples/CameraAccess/CameraAccessTests/Assets/plant.mp4;exact:visionclaw:samples/CameraAccessAndroid/app/src/androidTest/assets/plant.mp4;same-path:meta-android:samples/CameraAccess/app/src/androidTest/assets/plant.mp4;same-path:visionclaw:samples/CameraAccessAndroid/app/src/androidTest/assets/plant.mp4
samples/CameraAccessAndroid/app/src/androidTest/assets/plant.png,android-release,96798c374561ea8cda59f3d9a41fa0ab27c4dfb8,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,exact:meta-android:samples/CameraAccess/app/src/androidTest/assets/plant.png;exact:meta-ios:samples/CameraAccess/CameraAccess/TestResources/plant.png;exact:visionclaw:samples/CameraAccess/CameraAccessTests/Assets/plant.png;exact:visionclaw:samples/CameraAccessAndroid/app/src/androidTest/assets/plant.png;same-path:meta-android:samples/CameraAccess/app/src/androidTest/assets/plant.png;same-path:visionclaw:samples/CameraAccessAndroid/app/src/androidTest/assets/plant.png
samples/CameraAccessAndroid/app/src/main/AndroidManifest.xml,android-release,67971cebf2d36b3f82c79b365a7e994ff69c4859,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,same-path:meta-android:samples/CameraAccess/app/src/main/AndroidManifest.xml;same-path:visionclaw:samples/CameraAccessAndroid/app/src/main/AndroidManifest.xml
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/MainActivity.kt,android-release,f676be75c2089a7603c778a3b3997b3b5e727a8f,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/MainActivity.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/MainActivity.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/diagnostics/MicDiagnostics.kt,android-release,8ed4b24a2d9e22570f2aaee04e4175c99fb7d0e9,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/phone/PhoneCameraManager.kt,android-release,5668a4e2c66ab3e7a04fc5bdd35599dd5ca5e1ed,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,basename-only:visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/phone/PhoneCameraManager.kt;single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/settings/SettingsManager.kt,android-release,fcd65c5a6069a1e19802b176f583bf6adbcf7ba2,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,basename-only:visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/settings/SettingsManager.kt;single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/stream/SpecificDeviceSelector.kt,android-release,c95075e2af5f7c15f6d736ed0e95307c6f67440c,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/stream/StreamUiState.kt,android-release,8844ea98449e5f10618f3db9799f1d7bc8f3c126,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/stream/StreamUiState.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/stream/StreamUiState.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/stream/StreamViewModel.kt,android-release,e06b0cc64f7aab78f6b6325e48427b8fef0d030a,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/stream/StreamViewModel.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/stream/StreamViewModel.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/stream/StreamingService.kt,android-release,8d4efbb4a639f6332b62c1a27120a5fdf81e3aef,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,basename-only:visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/stream/StreamingService.kt;single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/CameraAccessScaffold.kt,android-release,24c3e1cb9eb06c6e84e7dadb5234b3ee8a597004,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/CameraAccessScaffold.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/CameraAccessScaffold.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/CircleButton.kt,android-release,a0019e069666ce84741e7c577e0237f0bc5c7b0e,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/CircleButton.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/CircleButton.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/ControlsRow.kt,android-release,acbde9f591ce78f3322da71c13d8009f2d25ca1c,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,basename-only:visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/ControlsRow.kt;single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/HomeScreen.kt,android-release,ca501685682c8190f5f52e5da702aa6a91f2985f,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/HomeScreen.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/HomeScreen.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/LoginScreen.kt,android-release,8ee248f2555d5fda089f927ae50fd819664a451a,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/MainTabScreen.kt,android-release,d1853b019a28f52ac74e25ce197f015d1f7e63a1,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/MicDiagnosticsScreen.kt,android-release,23bc222cbc8d95fd33866e4183031c4716ac2acb,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/NonStreamScreen.kt,android-release,7a98c0cad65f27f07841ea46405c879a0db88432,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-under-mixed-scope;preserve-notices;pending-written-permission,meta-header;basename-only:meta-android:samples/CameraAccess/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/NonStreamScreen.kt|visionclaw:samples/CameraAccessAndroid/app/src/main/java/com/meta/wearable/dat/externalsampleapps/cameraaccess/ui/NonStreamScreen.kt
samples/CameraAccessAndroid/app/src/main/java/io/egoflow/app/ui/PermissionIntroScreen.kt,android-release,69136d41ffa77b1babe1b804eb3c7815bdde61c5,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-source-available;excluded-from-app-wide-osi-claim,single-snapshot-no-prior-history
